4.164270754,5.911717112
4.967171852,4.693610871
5.377265227,4.321188706
5.576460742,4.114171189
5.689177063,4.060973985
5.939115517,3.872426294
6.218889769,3.659834797
6.683761221,3.384779116
6.977503629,3.209840981
7.301778073,3.036030443
7.617981411,2.893881002
9.147989493,2.348226384
4.798721862,4.901364114
5.836176382,3.968366375
6.103155772,3.745498106
6.382130731,3.577787735
7.098486862,3.124327102
7.67852759,2.856395432
8.791428367,2.440374406
8.306059737,2.601024488
7.971648798,2.733886686
